区域,城镇人口比重%,人均GDP（元）,地理位置,,城市化程度 ,csh,
北京,86.35,99995,东部,1,57.66 ,1 ,
天津,82.27,105231,东部,1,50.21 ,1 ,
河北,49.33,39984,东部,1,-9.93 ,2 ,
山西,53.79,35070,中部,2,-1.79 ,2 ,
内蒙,59.51,71046,中部,2,8.65 ,2 ,
辽宁,67.05,65201,东部,1,22.42 ,1 ,
吉林,54.81,50160,中部,2,0.07 ,2 ,
黑龙江,58.01,39226,中部,2,5.92 ,2 ,
上海,89.6,97370,东部,1,63.59 ,1 ,
江苏,65.21,81874,东部,1,19.06 ,1 ,
浙江,64.87,73002,东部,1,18.44 ,1 ,
安徽,49.15,34425,中部,2,-10.26 ,3 ,
福建,61.8,63472,东部,1,12.84 ,1 ,
江西,50.22,34674,中部,2,-8.31 ,2 ,
山东,55.01,60879,东部,1,0.44 ,2 ,
河南,45.21,37072,中部,2,-17.45 ,3 ,
湖北,55.67,47145,中部,2,1.64 ,2 ,
湖南,49.28,40271,中部,2,-10.02 ,3 ,
广东,68,63469,东部,1,24.16 ,1 ,
广西,46.01,33090,东部,1,-15.99 ,3 ,
海南,53.76,38924,东部,1,-1.84 ,2 ,
重庆,59.6,47850,西部,3,8.82 ,2 ,
四川,46.3,35128,西部,3,-15.46 ,3 ,
贵州,40.01,26437,西部,3,-26.95 ,3 ,
云南,41.73,27264,西部,3,-23.81 ,3 ,
西藏,25.75,29252,西部,3,-52.99 ,3 ,
陕西,52.57,46929,西部,3,-4.02 ,2 ,
甘肃,41.68,26433,西部,3,-23.90 ,3 ,
青海,49.78,39671,西部,3,-9.11 ,2 ,
宁夏,53.61,41834,西部,3,-2.12 ,2 ,
新疆,46.07,40648,西部,3,-15.88 ,3 ,
北京,86.3,93213,东部,1,60.62 ,1 ,43852
天津,82.01,99607,东部,1,52.63 ,1 ,
河北,48.12,38716,东部,1,-10.44 ,3 ,
山西,52.56,34813,中部,2,-2.18 ,2 ,
内蒙,58.71,67498,中部,2,9.27 ,2 ,
辽宁,66.45,61686,东部,1,23.67 ,1 ,
吉林,54.2,47191,中部,2,0.87 ,2 ,
黑龙江,57.4,37509,中部,2,6.83 ,2 ,
上海,89.6,90092,东部,1,66.76 ,1 ,
江苏,64.11,74607,东部,1,19.32 ,1 ,
浙江,64,68462,东部,1,19.11 ,1 ,
安徽,47.86,31684,中部,2,-10.92 ,3 ,
福建,60.77,57856,东部,1,13.10 ,1 ,
江西,48.87,31771,中部,2,-9.05 ,2 ,
山东,53.75,56323,东部,1,0.04 ,2 ,
河南,43.8,34174,中部,2,-18.48 ,3 ,
湖北,54.51,42613,中部,2,1.45 ,2 ,
湖南,47.96,36763,中部,2,-10.74 ,3 ,
广东,67.76,58540,东部,1,26.11 ,1 ,
广西,44.81,30588,东部,1,-16.60 ,3 ,
海南,52.74,35317,东部,1,-1.84 ,2 ,
重庆,58.34,42795,西部,3,8.58 ,2 ,
四川,44.9,32454,西部,3,-16.43 ,3 ,
贵州,37.83,22922,西部,3,-29.59 ,3 ,
云南,40.48,25083,西部,3,-24.66 ,3 ,
西藏,23.71,26068,西部,3,-55.87 ,3 ,
陕西,51.31,42692,西部,3,-4.50 ,2 ,
甘肃,40.13,24296,西部,3,-25.31 ,3 ,
青海,48.51,36510,西部,3,-9.72 ,2 ,
宁夏,52.01,39420,西部,3,-3.20 ,2 ,
新疆,44.47,37181,西部,3,-17.23 ,3 ,
北京,86.2,87658,东部,1,63.97184706,1 ,40007
天津,81.55,93173,东部,1,55.126498,1 ,
河北,46.8,36584,东部,1,-10.97584173,3 ,
山西,51.26,33628,中部,2,-2.491915541,2 ,
内蒙,57.74,63886,中部,2,9.834506372,2 ,
辽宁,65.65,56649,东部,1,24.8811109,3 ,
吉林,53.7,43415,中部,2,2.149514932,2 ,
黑龙江,56.9,35711,中部,2,8.236636865,2 ,
上海,89.3,85373,东部,1,69.86874643,1 ,
江苏,63,68347,东部,1,19.84021305,1 ,
浙江,63.2,63374,东部,1,20.22065817,1 ,
安徽,46.5,28792,中部,2,-11.54650942,3 ,
福建,59.6,52763,东部,1,13.372646,1 ,
江西,47.51,28800,中部,2,-9.625261556,2 ,
山东,52.43,51768,东部,1,-0.266311585,2 ,
河南,42.43,31499,中部,2,-19.28856762,3 ,
湖北,53.5,38572,中部,2,1.769069812,2 ,
湖南,46.65,33480,中部,2,-11.26117558,3 ,
广东,67.4,54095,东部,1,28.21000571,1 ,
广西,43.53,27952,东部,1,-17.19611946,3 ,
海南,51.6,32377,东部,1,-1.845158836,2 ,
重庆,56.98,38914,西部,3,8.388814913,2 ,
四川,43.53,29608,西部,3,-17.19611946,3 ,
贵州,36.41,19710,西部,3,-30.73996576,3 ,
云南,39.31,22195,西部,3,-25.22351151,3 ,
西藏,22.75,22936,西部,3,-56.72436751,3 ,
陕西,50.02,38564,西部,3,-4.85067529,2 ,
甘肃,38.75,21978,西部,3,-26.28875785,3 ,
青海,47.44,33181,西部,3,-9.758417348,2 ,
宁夏,50.67,36394,西部,3,-3.614228648,2 ,
新疆,43.98,33796,西部,3,-16.34011794,3 ,
北京,86.2,81658,东部,1,68.13 ,1 ,36403
天津,80.5,85213,东部,1,57.01 ,1 ,
河北,45.6,33969,东部,1,-11.06 ,3 ,
山西,49.68,31357,中部,2,-3.10 ,2 ,
内蒙,56.62,57974,中部,2,10.43 ,1 ,
辽宁,64.05,50760,东部,1,24.93 ,1 ,
吉林,53.4,38460,中部,2,4.15 ,2 ,
黑龙江,56.5,32819,中部,2,10.20 ,1 ,
上海,89.3,82560,东部,1,74.18 ,1 ,
江苏,61.9,62290,东部,1,20.73 ,1 ,
浙江,62.3,59249,东部,1,21.51 ,1 ,
安徽,44.8,25659,中部,2,-12.62 ,3 ,
福建,58.1,47377,东部,1,13.32 ,1 ,
江西,45.7,26150,中部,2,-10.86 ,3 ,
山东,50.95,47335,东部,1,-0.62 ,2 ,
河南,40.57,28661,中部,2,-20.87 ,3 ,
湖北,51.83,34197,中部,2,1.09 ,2 ,
湖南,45.1,29880,中部,2,-12.03 ,3 ,
广东,66.5,50807,东部,1,29.71 ,1 ,
广西,41.8,25326,东部,1,-18.47 ,3 ,
海南,50.5,28898,东部,1,-1.50 ,2 ,
重庆,55.02,34500,西部,3,7.31 ,2 ,
四川,41.83,26133,西部,3,-18.41 ,3 ,
贵州,34.96,16413,西部,3,-31.81 ,3 ,
云南,36.8,19265,西部,3,-28.22 ,3 ,
西藏,22.71,20077,西部,3,-55.71 ,3 ,
陕西,47.3,33464,西部,3,-7.74 ,2 ,
甘肃,37.15,19595,西部,3,-27.54 ,3 ,
青海,46.22,29522,西部,3,-9.85 ,2 ,
宁夏,49.82,33043,西部,3,-2.83 ,2 ,
新疆,43.54,30087,西部,3,-15.08 ,3 ,
北京,85.96,73856,东部,1,72.09 ,1 ,30876
天津,79.55,72994,东部,1,59.26 ,1 ,
河北,44.5,28668,东部,1,-10.91 ,3 ,
山西,48.05,26283,中部,2,-3.80 ,2 ,
内蒙,55.5,47347,中部,2,11.11 ,1 ,
辽宁,62.1,42355,东部,1,24.32 ,1 ,
吉林,53.35,31599,中部,2,6.81 ,2 ,
黑龙江,55.66,27076,中部,2,11.43 ,1 ,
上海,89.3,76074,东部,1,78.78 ,1 ,
江苏,60.58,52840,东部,1,21.28 ,1 ,
浙江,61.62,51711,东部,1,23.36 ,1 ,
安徽,43.01,20888,中部,2,-13.89 ,3 ,
福建,57.1,40025,东部,1,14.31 ,1 ,
江西,44.06,21253,中部,2,-11.79 ,3 ,
山东,49.7,41106,东部,1,-0.50 ,2 ,
河南,38.5,24446,中部,2,-22.92 ,3 ,
湖北,49.7,27906,中部,2,-0.50 ,2 ,
湖南,43.3,24719,中部,2,-13.31 ,3 ,
广东,66.18,44736,东部,1,32.49 ,1 ,
广西,40,20219,东部,1,-19.92 ,3 ,
海南,49.8,23831,东部,1,-0.30 ,2 ,
重庆,53.02,27596,西部,3,6.15 ,2 ,
四川,40.18,21182,西部,3,-19.56 ,3 ,
贵州,33.81,13119,西部,3,-32.31 ,3 ,
云南,34.7,15752,西部,3,-30.53 ,3 ,
西藏,22.67,17319,西部,3,-54.61 ,3 ,
陕西,45.76,27133,西部,3,-8.39 ,2 ,
甘肃,36.12,16113,西部,3,-27.69 ,3 ,
青海,44.72,24115,西部,3,-10.47 ,3 ,
宁夏,47.9,26860,西部,3,-4.10 ,2 ,
新疆,43.01,25034,西部,3,-13.89 ,3 ,
